count,county_fips,hhpop,horate,medhhincome,AdjCount,UnadjCount
59,01117,76798,0.784395427,69000,0,0
60,01119,4957.787,0.686658382,26000,0,0
61,01121,32302.33,0.713358262,37800,0,0
62,01123,15823.362,0.728431038,37300,0,0
63,01125,71198.73,0.619020592,46000,0,0
64,01127,25747.7,0.733989832,35000,0,0
65,01129,6229.564,0.68967138,34460,0,0
66,01131,4136.022,0.68967138,34460,0,0
67,01133,9197.675,0.766130462,38000,0,0
68,02013,935.743,0.599497939,61900,,
69,02016,1645.617,0.599497939,61900,0,0
70,02020,104935,0.607814361,75000,0,0
71,02050,5001.385,0.599497939,61900,,
72,02060,290.403,0.599497939,61900,,
73,02068,664.433,0.601013195,70000,,
74,02070,1419.748,0.599497939,61900,,
75,02090,35879.382,0.601013195,70000,0,0
76,02100,906.045,0.601013195,70000,,
77,02105,645.34,0.599497939,61900,,
78,02110,11476.57,0.601013195,70000,8,8
79,02122,20189.952,0.731941116,68000,0,0
80,02130,4953.046,0.601013195,70000,,
81,02150,4001.108,0.599497939,61900,,
82,02164,484.005,0.599497939,61900,,
83,02170,32388.048,0.731941116,68000,,
84,02180,2807.229,0.599497939,61900,,
85,02185,2774.962,0.599497939,61900,,
86,02188,2226.423,0.599497939,61900,,
87,02195,1129.345,0.599497939,61900,,
88,02198,1645.617,0.599497939,61900,,
89,02220,2613.627,0.599497939,61900,,
90,02230,362.418,0.601013195,70000,,
91,02240,2597.329,0.601013195,70000,,
92,02261,3563.777,0.601013195,70000,,
93,02158,2194.156,0.599497939,61900,,
94,02275,709.874,0.599497939,61900,,
95,02282,193.602,0.599497939,61900,,
96,02290,1645.617,0.599497939,61900,,
97,04001,21450.8,0.716094505,35000,8,8
98,04003,48039.6,0.685709914,38400,4,4
99,04005,45911,0.608982597,56000,8,8
100,04007,19092.348,0.724288338,40000,8,8
101,04009,13250.952,0.724288338,40000,8,8
102,04011,3018.708,0.724288338,40000,0,0
103,04012,8542.05,0.667610234,39900,1,1
104,04013,1480330,0.594114826,56000,7,7
105,04015,83307.95,0.667610234,39900,4,4
106,04017,32176.2,0.716094505,35000,8,8
107,04019,395993,0.609000664,47000,8,8
108,04021,127947.196,0.750466661,49000,4,5
109,04023,17320.4,0.685709914,38400,0,0
110,04025,94920,0.709428993,47100,3,3
111,04027,71751,0.648088528,38900,0,0
112,05001,6969.994,0.663366712,38000,0,0
113,05003,8133.276,0.702124458,39000,0,0
114,05005,17113.944,0.741003476,38600,0,0
115,05007,91669,0.664423087,60000,8,8
116,05009,15198.204,0.741003476,38600,0,0
117,05011,4265.983,0.702124458,39000,0,0
118,05013,2057.187,0.751444084,40500,0,0
119,05015,11302.866,0.741003476,38600,0,0
120,05017,4385.59,0.702124458,39000,0,0
121,05019,9228.58,0.674888444,36400,0,0
122,05021,6572.205,0.621734715,39000,0,0
123,05023,10364.352,0.773994554,37500,0,0
124,05025,3229.389,0.702124458,39000,0,0
125,05027,9358.184,0.751444084,40500,0,0
126,05029,7913.306,0.670839217,38000,0,0
127,05031,39002.47,0.618981798,38200,0,0
128,05033,24288.33,0.655154142,42100,0,0
129,05035,18180.625,0.590907903,34000,0,0
130,05037,6451.592,0.59552805,33100,0,0
131,05039,3105.949,0.751444084,40500,0,0
132,05041,4824.149,0.702124458,39000,0,0
133,05043,6897.337,0.702124458,39000,0,0
134,05045,43950.192,0.658625928,52400,0,0
135,05047,6574.832,0.784886367,39500,0,0
136,05049,4858.29,0.773994554,37500,0,0
137,05051,38669.05,0.674888444,36400,0,0
138,05053,6460.395,0.636861833,38000,0,0
139,05055,17205.885,0.621734715,39000,0,0
140,05057,8386.617,0.659773065,36200,0,0
141,05059,13257.96,0.674888444,36400,0,0
142,05061,5005.838,0.784886367,39500,0,0
143,05063,14574.87,0.773994554,37500,0,0
144,05065,5452.081,0.773994554,37500,0,0
145,05067,6698.7,0.632889964,35000,0,0
146,05069,28085.31,0.636861833,38000,0,0
147,05071,9485.486,0.670839217,38000,0,0
148,05073,2822.037,0.659773065,36200,0,0
149,05075,7162.965,0.621734715,39000,0,0
150,05077,3766.768,0.59552805,33100,0,0
151,05079,5262.708,0.702124458,39000,0,0
152,05081,4888.881,0.659773065,36200,0,0
153,05083,8106.469,0.784886367,39500,0,0
154,05085,26482.808,0.658625928,52400,0,0
155,05087,6513.516,0.741003476,38600,0,0
156,05089,6896.664,0.741003476,38600,0,0
157,05091,16137.282,0.659773065,36200,0,0
158,05093,16611.35,0.590907903,34000,0,0
159,05095,2925.256,0.59552805,33100,0,0
160,05097,3834.41,0.674888444,36400,0,0
161,05099,3338.748,0.659773065,36200,0,0
162,05101,3448.332,0.741003476,38600,0,0
163,05103,9963.239,0.751444084,40500,0,0
164,05105,3878.044,0.670839217,38000,0,0
165,05107,7854.112,0.59552805,33100,0,0
166,05109,4173.435,0.659773065,36200,0,0
167,05111,8855.912,0.59552805,33100,0,0
168,05113,7471.4,0.784886367,39500,0,0
169,05115,22901.422,0.670839217,38000,0,0
170,05117,3225.3,0.632889964,35000,0,0
171,05119,157400,0.573570521,47000,0,0
172,05121,7384.5,0.621734715,39000,0,0
173,05123,10178.288,0.59552805,33100,0,0
174,05125,43877,0.773959022,55000,0,0
175,05127,4071.913,0.784886367,39500,0,0
176,05129,3384.474,0.741003476,38600,0,0
177,05131,49312.67,0.655154142,42100,0,0
178,05133,6163.905,0.784886367,39500,0,0
179,05135,6855.587,0.773994554,37500,0,0
180,05137,4912.271,0.773994554,37500,0,0
181,05139,15892.778,0.751444084,40500,0,0
182,05141,6909.568,0.773994554,37500,0,0
183,05143,82905,0.535251191,46000,8,8
184,05145,28696.9,0.632889964,35000,2,2
185,05147,2687.75,0.632889964,35000,0,0
186,05149,8227.742,0.670839217,38000,0,0
187,06001,571605,0.527495386,81000,0,0
188,06003,442.17,0.720415225,51700,8,8
189,06005,14665.305,0.720415225,51700,0,0
190,06007,85288,0.575743364,44600,7,7
191,06009,17539.41,0.720415225,51700,0,0
192,06011,7690.176,0.641679852,42000,0,0
193,06013,391996,0.643049929,83800,0,0
194,06015,10023.147,0.661138762,41200,0,1
195,06017,67545,0.786734769,81600,0,0
196,06019,304208,0.52592634,46700,8,8
197,06021,10101.888,0.641679852,42000,0,0
198,06023,53553,0.561686554,41300,0,0
199,06025,45158,0.56503831,40300,0,0
200,06027,7148.415,0.720415225,51700,0,0
201,06029,263274,0.563549762,50800,8,8
202,06031,42692,0.476084512,47600,0,0
203,06033,26117.976,0.579928246,38700,0,0
204,06035,12250.513,0.661138762,41200,0,0
205,06037,3292750,0.452927796,58700,3,3
206,06039,45224,0.617349195,46000,3,3
207,06041,105887,0.642175149,97600,0,0
208,06043,7001.025,0.720415225,51700,0,0
209,06045,35481.024,0.579928246,38700,0,0
210,06047,79098,0.5133126,41900,8,8
211,06049,3389.47,0.661138762,41200,0,0
212,06051,5453.43,0.720415225,51700,0,0
213,06053,129456.022,0.502361891,62700,8,8
214,06055,49619,0.618996755,75400,1,1
215,06057,41469.12,0.736881419,55200,0,0
216,06059,1022541,0.566591462,77000,0,0
217,06061,137498,0.693908275,76000,0,0
218,06063,7021.045,0.661138762,41200,0,0
219,06065,714728,0.640650709,59000,8,8
220,06067,530498,0.543936075,58000,1,1
221,06069,15014.978,0.558057961,64700,0,0
222,06071,628794,0.56991956,53000,4,4
223,06073,1113610,0.520730776,68000,8,8
224,06075,356914,0.359139737,90200,8,8
225,06077,223062,0.54621585,52500,8,8
226,06079,104760,0.599264987,61800,8,8
227,06081,263197,0.598000737,101000,0,0
228,06083,144037,0.515978533,62000,3,3
229,06085,633784,0.563488507,103800,0,0
230,06087,93318,0.547257764,68000,0,0
231,06089,69799,0.617644952,45000,0,0
232,06091,1370.88,0.736881419,55200,2,2
233,06093,15736.825,0.661138762,41200,0,0
234,06095,145502,0.613201193,67200,0,0
235,06097,190662,0.595546045,66300,8,8
236,06099,171958,0.561317298,52800,8,8
237,06101,33092.248,0.598307616,51000,0,0
238,06103,22797.504,0.641679852,42000,3,3
239,06105,4959.936,0.641679852,42000,0,0
240,06107,134802,0.549034881,44200,8,8
241,06109,21371.55,0.720415225,51700,0,0
242,06111,269565,0.6364439,78600,8,8
243,06113,73754,0.528405239,60000,0,0
244,06115,25168.752,0.598307616,51000,0,0
245,08001,162084.262,0.649916455,61000,0,0
246,08003,6087.466,0.639328088,38400,0,0
247,08005,230606.701,0.636093511,66000,0,0
248,08007,5047.504,0.684802627,49500,0,0
249,08009,1502.102,0.639328088,38400,5,6
250,08011,2319.526,0.708475352,48400,0,0
251,08013,124130.086,0.632571768,75000,0,0
252,08014,23877.31,0.694866968,81200,8,8
253,08015,7200.952,0.733721875,45000,0,0
254,08017,668.338,0.708475352,48400,1,1
255,08019,3931.47,0.829773596,92500,8,8
256,08021,3241.378,0.639328088,38400,0,0
257,08023,1383.515,0.639328088,38400,0,0
258,08025,2083.642,0.708475352,48400,0,0
259,08027,1716.506,0.733721875,45000,0,0
260,08029,12274.608,0.765980633,47900,0,0
261,08031,286372.976,0.49152955,60000,8,8
262,08033,856.273,0.684802627,49500,0,0
263,08035,117470.948,0.790734812,106800,0,0
264,08037,19927.2,0.620637119,70600,0,0
265,08039,9375.124,0.792462478,98600,2,2
266,08041,253580.735,0.616120929,58801,0,0
267,08043,18881.566,0.733721875,45000,0,0
268,08045,21010.37,0.648575632,62000,0,0
269,08047,2358.882,0.829773596,92500,8,8
270,08049,5674.92,0.620637119,70600,0,0
271,08051,6399.514,0.684802627,49500,0,0
272,08053,360.536,0.684802627,49500,8,8
273,08055,2721.29,0.733721875,45000,0,0
274,08057,519.84,0.620637119,70600,0,0
275,08059,230432.061,0.67611487,67700,0,0
276,08061,511.082,0.708475352,48400,2,2
277,08063,2948.55,0.708475352,48400,7,8
278,08065,2930.62,0.733721875,45000,8,8
279,08067,21451.892,0.684802627,49500,0,0
280,08069,129210,0.64098754,65500,1,1
281,08071,6126.995,0.639328088,38400,8,8
282,08073,1965.7,0.708475352,48400,8,8
283,08075,8098.684,0.708475352,48400,0,1
284,08077,58610.975,0.652580852,51600,2,2
285,08079,276.703,0.639328088,38400,8,8
286,08081,5121.745,0.648575632,62000,0,1
287,08083,10680.879,0.684802627,49500,0,0
288,08085,16352.685,0.765980633,47900,0,0
289,08087,10025.07,0.708475352,48400,0,0
290,08089,7431.452,0.639328088,38400,0,0
291,08091,1776.588,0.765980633,47900,0,0
292,08093,6531.096,0.733721875,45000,0,0
293,08095,1572.56,0.708475352,48400,0,0
294,08097,6541.32,0.620637119,70600,0,0
295,08099,4941.125,0.639328088,38400,0,0
296,08101,61953.014,0.642553113,39900,0,0
297,08103,2467.41,0.648575632,62000,0,0
298,08105,4703.951,0.639328088,38400,0,0
299,08107,8748.09,0.648575632,62000,0,0
300,08109,2411.269,0.639328088,38400,0,0
301,08111,270.402,0.684802627,49500,8,8
302,08113,2907.144,0.765980633,47900,0,0
303,08115,864.908,0.708475352,48400,0,0
304,08117,10656.72,0.620637119,70600,7,8
305,08119,7855.265,0.68585872,63000,0,0
306,08121,1729.816,0.708475352,48400,8,8
307,08123,99248.672,0.67373641,66000,8,8
308,08125,3577.574,0.708475352,48400,8,8
309,09001,333528,0.674018373,87000,0,0
310,09003,343884,0.638180317,70000,0,0
311,09005,73360,0.776962923,72400,0,0
312,09007,65375,0.751112811,82700,0,0
313,09009,323269,0.614491337,62500,0,0
314,09011,105378,0.650088254,61400,0,0
315,09013,55354,0.728492973,82000,0,0
316,09015,43556,0.738015428,60000,0,0
317,10001,62478,0.681407856,59000,0,0
318,10003,202814,0.683419291,68000,0,0
319,10005,87305,0.790653456,54000,2,2
320,11001,281788,0.402472781,75000,,
321,12001,96428,0.537903928,47000,0,0
322,12003,10220.31,0.749874515,54450,0,0
323,12005,69046.716,0.667330623,45000,1,1
324,12007,9877.098,0.724121802,40000,0,0
325,12009,225683,0.70246319,49720,0,0
326,12011,673870,0.615881401,54000,0,0
327,12013,4998.748,0.713347422,39200,0,0
328,12015,72672,0.752311757,45000,0,0
329,12017,60540,0.81564255,39200,0,0
330,12019,71733,0.71485927,54600,0,0
331,12021,134906,0.724771322,61900,0,0
332,12023,23345.868,0.724121802,40000,0,0
333,12027,13234.208,0.723424024,33600,0,0
334,12029,5644.056,0.724121802,40000,0,0
335,12031,343467,0.569632599,48900,0,0
336,12033,116814,0.616398719,45000,0,0
337,12035,39052.581,0.734644146,49300,0,0
338,12037,3946.38,0.713347422,39200,8,8
339,12039,15917.066,0.713347422,39200,0,0
340,12041,5836.467,0.724121802,40000,0,0
341,12043,4006.75,0.705871342,38000,0,0
342,12045,5459.159,0.713347422,39200,8,8
343,12047,5123.388,0.725610085,34000,0,0
344,12049,10496.096,0.723424024,33600,0,0
345,12051,12180.52,0.705871342,38000,0,0
346,12053,70714,0.768051588,43800,0,0
347,12055,36711.42,0.721799484,34000,0,0
348,12057,503153,0.570901893,51500,8,8
349,12059,8136.078,0.667330623,45000,0,0
350,12061,55494,0.780823152,50000,0,0
351,12063,17035.207,0.713347422,39200,0,0
352,12065,5064.521,0.713347422,39200,0,0
353,12067,3081.458,0.725610085,34000,0,0
354,12069,129284.045,0.785421395,50100,5,5
355,12071,263693,0.692961133,50000,0,0
356,12073,109210,0.517260324,45000,0,0
357,12075,14110.14,0.724121802,40000,0,0
358,12077,2894.012,0.713347422,39200,4,5
359,12079,6682.68,0.725610085,34000,0,0
360,12081,134691,0.68831622,50000,0,0
361,12083,125227,0.764100394,40000,7,7
362,12085,65040,0.749261993,48900,0,0
363,12086,860822.816,0.509252348,43400,7,7
364,12087,28282.184,0.56622077,58000,8,8
365,12089,27632.69,0.749874515,54450,0,0
366,12091,76721,0.610224059,55000,0,0
367,12093,12469.006,0.705871342,38000,0,0
368,12095,457736,0.54096903,50000,0,0
369,12097,98301,0.581326741,45100,0,0
370,12099,545784,0.672469329,56500,0,0
371,12101,192627,0.698702674,46900,0,0
372,12103,400209,0.64384609,47500,0,0
373,12105,227123,0.669333357,44000,8,8
374,12107,30015.198,0.721964053,36500,0,0
375,12109,81397.802,0.756373077,72000,0,0
376,12111,108872,0.702568153,44900,0,0
377,12113,60860,0.707180414,59000,0,0
378,12115,177806,0.713541725,56600,0,0
379,12117,162739,0.653150136,56890,0,0
380,12119,48376.955,0.821890195,49000,0,0
381,12121,14404.888,0.725610085,34000,0,0
382,12123,7833.586,0.725610085,34000,0,0
383,12125,5387.508,0.724121802,40000,0,0
384,12127,209885.419,0.701136128,40600,0,0
385,12129,10523.68,0.713347422,39200,0,0
386,12131,22539.135,0.667330623,45000,0,0
387,12133,10225.071,0.667330623,45000,0,0
