GRS	STS	TGS	WTS	SES	TNS	GHH	SBS	WSH	UBT	ASS	SLE	UWS	GRA	SNS	SWG	LES	BUL	AWS	UHH	SPS	PES	BTS	SoakTime	Lat	Lon	DistReef	HardCoral	Zoning	Days
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123.76666	-14.38814	145.3058	0.945409561	0	Post_zoning	223
1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174.9	-23.86479	152.4513667	1.075745155	0	Post_zoning	492
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187.55001	-23.84395667	151.4732	7.884056134	0	Pre_zoning	-42
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187.53334	-23.20387667	150.9882333	1.534749475	0	Post_zoning	497
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175.38334	-24.11106667	151.8147	13.35474305	0	Post_zoning	495
0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146.06333	-19.89337333	149.7462667	2.16768621	10	Pre_zoning	-33
1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174.56667	-19.45338	148.9837	1.042070439	10	Post_zoning	514
0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179.78334	-20.03914333	150.3183	2.993360339	6.666666667	Post_zoning	77
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187.53334	-23.91584	152.5727333	11.68247777	0	Post_zoning	492
0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	172.03334	-14.58350667	145.5655667	3.05955776	0	Pre_zoning	-270
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177.01667	-21.29802	149.5722333	6.771250303	0	Post_zoning	89
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169.48333	-22.06523333	152.7197667	1.322420776	0	Post_zoning	503
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187.31666	-21.4211	152.536	0.71822407	0	Post_zoning	508
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179.75	-19.15887667	148.1096	0.930432088	0	Pre_zoning	-217
0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161.98333	-21.52499	152.4596333	0.496169348	0	Post_zoning	507
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178.1	-21.71306333	151.8315667	2.371004975	0	Post_zoning	487
2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182.68333	-19.51576	149.6666	1.333870405	6.666666667	Post_zoning	513
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	156.3	-11.90856333	143.2806667	3.110975492	0	Post_zoning	210
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168.9	-20.16696	148.787	5.723518465	0	Pre_zoning	-216
